face,emotion,gender,identity
AF01ANS.JPG,angry,female,1
AF01HAS.JPG,happy,female,1
AF02ANS.JPG,angry,female,2
AF02HAS.JPG,happy,female,2
AF03ANS.JPG,angry,female,3
AF03HAS.JPG,happy,female,3
AF04ANS.JPG,angry,female,4
AF04HAS.JPG,happy,female,4
AF05ANS.JPG,angry,female,5
AF05HAS.JPG,happy,female,5
AF06ANS.JPG,angry,female,6
AF06HAS.JPG,happy,female,6
AF07ANS.JPG,angry,female,7
AF07HAS.JPG,happy,female,7
AF08ANS.JPG,angry,female,8
AF08HAS.JPG,happy,female,8
AF09ANS.JPG,angry,female,9
AF09HAS.JPG,happy,female,9
AF10ANS.JPG,angry,female,10
AF10HAS.JPG,happy,female,10
AF11ANS.JPG,angry,female,11
AF11HAS.JPG,happy,female,11
AF12ANS.JPG,angry,female,12
AF12HAS.JPG,happy,female,12
AF13ANS.JPG,angry,female,13
AF13HAS.JPG,happy,female,13
AF14ANS.JPG,angry,female,14
AF14HAS.JPG,happy,female,14
AF15ANS.JPG,angry,female,15
AF15HAS.JPG,happy,female,15
AF16ANS.JPG,angry,female,16
AF16HAS.JPG,happy,female,16
AF17ANS.JPG,angry,female,17
AF17HAS.JPG,happy,female,17
AF18ANS.JPG,angry,female,18
AF18HAS.JPG,happy,female,18
AF19ANS.JPG,angry,female,19
AF19HAS.JPG,happy,female,19
AF20ANS.JPG,angry,female,20
AF20HAS.JPG,happy,female,20
AF21ANS.JPG,angry,female,21
AF21HAS.JPG,happy,female,21
AF22ANS.JPG,angry,female,22
AF22HAS.JPG,happy,female,22
AF23ANS.JPG,angry,female,23
AF23HAS.JPG,happy,female,23
AF24ANS.JPG,angry,female,24
AF24HAS.JPG,happy,female,24
AF25ANS.JPG,angry,female,25
AF25HAS.JPG,happy,female,25
AF26ANS.JPG,angry,female,26
AF26HAS.JPG,happy,female,26
AF27ANS.JPG,angry,female,27
AF27HAS.JPG,happy,female,27
AF28ANS.JPG,angry,female,28
AF28HAS.JPG,happy,female,28
AF29ANS.JPG,angry,female,29
AF29HAS.JPG,happy,female,29
AF30ANS.JPG,angry,female,30
AF30HAS.JPG,happy,female,30
AF31ANS.JPG,angry,female,31
AF31HAS.JPG,happy,female,31
AF32ANS.JPG,angry,female,32
AF32HAS.JPG,happy,female,32
AF33ANS.JPG,angry,female,33
AF33HAS.JPG,happy,female,33
AF34ANS.JPG,angry,female,34
AF34HAS.JPG,happy,female,34
AF35ANS.JPG,angry,female,35
AF35HAS.JPG,happy,female,35
AN01ANS.JPG,angry,male,1
AN01HAS.JPG,happy,male,1
AN02ANS.JPG,angry,male,2
AN02HAS.JPG,happy,male,2
AN03ANS.JPG,angry,male,3
AN03HAS.JPG,happy,male,3
AN04ANS.JPG,angry,male,4
AN04HAS.JPG,happy,male,4
AN05ANS.JPG,angry,male,5
AN05HAS.JPG,happy,male,5
AN06ANS.JPG,angry,male,6
AN06HAS.JPG,happy,male,6
AN07ANS.JPG,angry,male,7
AN07HAS.JPG,happy,male,7
AN08ANS.JPG,angry,male,8
AN08HAS.JPG,happy,male,8
AN09ANS.JPG,angry,male,9
AN09HAS.JPG,happy,male,9
AN10ANS.JPG,angry,male,10
AN10HAS.JPG,happy,male,10
AN11ANS.JPG,angry,male,11
AN11HAS.JPG,happy,male,11
AN12ANS.JPG,angry,male,12
AN12HAS.JPG,happy,male,12
AN13ANS.JPG,angry,male,13
AN13HAS.JPG,happy,male,13
AN14ANS.JPG,angry,male,14
AN14HAS.JPG,happy,male,14
AN15ANS.JPG,angry,male,15
AN15HAS.JPG,happy,male,15
AN16ANS.JPG,angry,male,16
AN16HAS.JPG,happy,male,16
AN17ANS.JPG,angry,male,17
AN17HAS.JPG,happy,male,17
AN18ANS.JPG,angry,male,18
AN18HAS.JPG,happy,male,18
AN19ANS.JPG,angry,male,19
AN19HAS.JPG,happy,male,19
AN20ANS.JPG,angry,male,20
AN20HAS.JPG,happy,male,20
AN21ANS.JPG,angry,male,21
AN21HAS.JPG,happy,male,21
AN22ANS.JPG,angry,male,22
AN22HAS.JPG,happy,male,22
AN23ANS.JPG,angry,male,23
AN23HAS.JPG,happy,male,23
AN24ANS.JPG,angry,male,24
AN24HAS.JPG,happy,male,24
AN25ANS.JPG,angry,male,25
AN25HAS.JPG,happy,male,25
AN26ANS.JPG,angry,male,26
AN26HAS.JPG,happy,male,26
AN27ANS.JPG,angry,male,27
AN27HAS.JPG,happy,male,27
AN28ANS.JPG,angry,male,28
AN28HAS.JPG,happy,male,28
AN29ANS.JPG,angry,male,29
AN29HAS.JPG,happy,male,29
AN30ANS.JPG,angry,male,30
AN30HAS.JPG,happy,male,30
AN31ANS.JPG,angry,male,31
AN31HAS.JPG,happy,male,31
AN32ANS.JPG,angry,male,32
AN32HAS.JPG,happy,male,32
AN33ANS.JPG,angry,male,33
AN33HAS.JPG,happy,male,33
AN34ANS.JPG,angry,male,34
AN34HAS.JPG,happy,male,34
AN35ANS.JPG,angry,male,35
AN35HAS.JPG,happy,male,35
