post_0_trial_start_ms,item,max_time,shuffle_1,text,trial type,post_0_trial_end_ms,post_0_trial_end_date,max time,shuffle 1,,repeat
,,,,,,,,,,,
1578853950384,0,,off,,start_experiment,1578853951926,Sun Jan 12 2020 18:32:31 GMT+0000 (Greenwich Mean Time),,,,
1578853951939,0,,,Thank you for participating in this experiment.,instruct,1578853953389,Sun Jan 12 2020 18:32:33 GMT+0000 (Greenwich Mean Time),user,off,,
